id,degree,price_year,price_total,wtp_score,wtp_raw,gender,region,city_type,income,respondent_status
10,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
11,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
11,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Тернопільська область ,Сільська місцевість (село),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
12,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
13,bachelor,105000,420000,1.0,"Так, це прийнятно",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,152000,608000,0.5,"Можливо, залежно від програми",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
13,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
14,bachelor,105000,420000,0.0,"Ні, це забагато",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
14,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київська область ,Мале місто / селище міського типу (до 50 тис. населення),"Низьке – сім’ї важко покривати базові потреби, часто бракує коштів.",Студент KSE
15,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
15,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Велике місто (понад 500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
16,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
